timestamp,open,high,low,close,volume,next
2019-02-08,102.87,107.27,102.77,105.67,130472196,107.78
2019-02-01,106.26,106.48,102.17,102.78,201611213,107.27
2019-01-25,106.75,107.88,104.86,107.17,112628578,106.48
2019-01-18,101.9,107.9,101.26,107.71,155699162,107.88
2019-01-11,101.64,104.88,100.98,102.8,157833149,107.9
2019-01-04,101.29,102.51,97.2,101.93,155142140,104.88
2018-12-28,97.68,102.41,93.96,100.39,183237806,102.51
2018-12-21,105.41,106.88,97.46,98.23,356050950,102.41
2018-12-14,104.8,111.27,103.89,106.03,197742990,106.88
2018-12-07,113,113.42,104.3,104.82,174082124,111.27
2018-11-30,104.79,111.33,104.58,110.89,170037931,113.42
2018-11-23,108.27,108.56,99.3528,103.07,150780076,111.33
2018-11-16,109.42,109.96,103.91,108.29,180498817,108.56
2018-11-09,106.37,112.24,105.9,109.57,147847424,109.96
2018-11-02,108.105,108.7,100.11,106.16,242639657,112.24
2018-10-26,109.32,110.54,101.5901,106.96,251383718,108.7
2018-10-19,108.91,111.81,106.9468,108.66,155518177,110.54
2018-10-12,111.66,113.08,104.2,109.57,228861873,111.81
2018-10-05,114.75,116.18,110.64,112.13,120208912,113.08
2018-09-28,113.03,115.1,112.2175,114.37,110093609,116.18
2018-09-21,113.69,115.29,111.035,114.26,159580089,115.1
2018-09-14,108.84,113.73,108.36,113.37,109098713,115.29
2018-09-07,110.85,111.955,107.23,108.21,101483263,113.73
2018-08-31,109.27,112.777,108.51,112.33,105653318,111.955
2018-08-24,107.51,108.56,105.78,108.4,94198444,112.777
2018-08-17,109.24,109.75,106.69,107.58,104691805,108.56
2018-08-10,108.12,110.16,107.559,109,83694598,109.75
2018-08-03,107.19,108.09,104.76,108.04,130716035,110.16
2018-07-27,106.3,111.15,106.13,107.68,155199034,108.09
2018-07-20,105.4,108.2,103.89,106.27,173393038,111.15
2018-07-13,101.6452,105.6,101.1,105.43,106139197,108.2
2018-07-06,98.1,101.43,98,101.16,72446825,105.6
2018-06-29,100,100.11,97.26,98.61,148332848,101.43
2018-06-22,100.01,102.52,99.42,100.41,140541209,100.11
2018-06-15,101.37,102.03,100.07,100.13,162739393,102.52
2018-06-08,101.26,102.69,100.38,101.63,122316267,102.03
2018-06-01,97.84,100.86,97.23,100.79,113626024,102.69
2018-05-25,97,98.98,96.32,98.36,101128083,100.86
2018-05-18,97.92,98.69,95.83,96.36,96545432,98.98
2018-05-11,95.17,97.95,95.05,97.7,114220453,98.69
2018-05-04,96.33,96.3964,92.45,95.16,154077356,97.95
2018-04-27,95.7436,97.9,90.28,95.82,181387708,96.3964
2018-04-20,94.07,97.07,93.42,95,122809288,97.9
2018-04-13,91.04,94.18,90.62,93.08,133450878,97.07
2018-04-06,90.47,93.065,87.51,90.23,189087091,94.18
2018-03-29,90.61,95.139,88.4,91.27,207104405,93.065
2018-03-23,93.74,94.05,87.08,87.18,157031195,95.139
2018-03-16,96.5,97.24,92.83,94.6,164964544,94.05
2018-03-09,92.34,96.54,92.26,96.54,133800312,97.24
2018-03-02,94.4,95.84,90.86,93.05,154581506,96.54
2018-02-23,91.475,94.07,91.01,94.06,104692721,95.84
2018-02-16,88.735,93.5,87.8,92,153611971,94.07
2018-02-09,90.56,93.24,83.83,88.18,253644732,93.5
2018-02-02,95.14,96.07,91.5,91.78,202570318,93.24
