timestamp,open,high,low,close,volume,next,nweek
2019-01-29,104.88,104.97,102.17,102.94,31490547,106.38,107.27
2019-01-28,106.26,106.48,104.66,105.08,29476719,104.97,105.8
2019-01-25,107.24,107.88,106.59,107.17,31218193,106.48,104.0999
2019-01-24,106.86,107,105.34,106.2,23164838,107.88,105.22
2019-01-23,106.12,107.04,105.34,106.71,25874294,107,106.38
2019-01-22,106.75,107.1,104.86,105.68,32371253,107.04,104.97
2019-01-18,107.46,107.9,105.91,107.71,37427587,107.1,106.48
2019-01-17,105,106.625,104.76,106.12,28393015,107.9,107.88
2019-01-16,105.26,106.255,104.96,105.38,29853865,106.625,107
2019-01-15,102.51,105.05,101.88,105.01,31587616,106.255,107.04
2019-01-14,101.9,102.8716,101.26,102.05,28437079,105.05,107.1
2019-01-11,103.19,103.44,101.64,102.8,28314202,102.8716,107.9
2019-01-10,103.22,103.75,102.38,103.6,30067556,103.44,106.625
2019-01-09,103.86,104.88,103.2445,104.27,32280840,103.75,106.255
2019-01-08,103.04,103.97,101.7134,102.8,31514415,104.88,105.05
2019-01-07,101.64,103.2681,100.98,102.06,35656136,103.97,102.8716
2019-01-04,99.72,102.51,98.93,101.93,44060620,103.2681,103.44
2019-01-03,100.1,100.185,97.2,97.4,42578410,102.51,103.75
2019-01-02,99.55,101.75,98.94,101.12,35329345,100.185,104.88
2018-12-31,101.29,102.4,100.44,101.57,33173765,101.75,103.97
2018-12-28,102.09,102.41,99.52,100.39,38169312,102.4,103.2681
2018-12-27,99.3,101.19,96.4,101.18,49498509,102.41,102.51
2018-12-26,95.14,100.69,93.96,100.56,51634793,101.19,100.185
2018-12-24,97.68,97.97,93.98,94.13,43935192,100.69,101.75
2018-12-21,101.63,103,97.46,98.23,111242070,97.97,102.4
2018-12-20,103.05,104.31,98.78,101.51,70334184,103,102.41
2018-12-19,103.65,106.88,101.35,103.69,68198186,104.31,101.19
2018-12-18,103.75,104.51,102.52,103.97,49319196,106.88,100.69
2018-12-17,105.41,105.8,101.71,102.89,56957314,104.51,97.97
2018-12-14,108.25,109.26,105.5,106.03,47043136,105.8,103
2018-12-13,109.58,110.87,108.63,109.45,31333362,109.26,104.31
2018-12-12,110.89,111.27,109.04,109.08,36183020,110.87,106.88
2018-12-11,109.8,110.95,107.44,108.59,42381947,111.27,104.51
2018-12-10,104.8,107.98,103.89,107.59,40801525,110.95,105.8
2018-12-07,108.38,109.45,104.3,104.82,45044937,107.98,109.26
2018-12-06,105.82,109.24,105,109.19,49107431,109.45,110.87
2018-12-04,111.94,112.6373,108.2115,108.52,45196984,109.24,111.27
2018-12-03,113,113.42,110.73,112.09,34732772,112.6373,110.95
2018-11-30,110.7,110.97,109.36,110.89,33665624,113.42,107.98
2018-11-29,110.33,111.115,109.03,110.19,28123195,110.97,109.45
2018-11-28,107.89,111.33,107.86,111.12,46788461,111.115,109.24
2018-11-27,106.27,107.33,105.36,107.14,29124486,111.33,112.6373
2018-11-26,104.79,106.63,104.58,106.47,32336165,107.33,113.42
2018-11-23,102.17,103.8099,102,103.07,13823099,106.63,110.97
2018-11-21,103.6,104.43,102.24,103.11,28130621,103.8099,111.115
2018-11-20,101.8,102.97,99.3528,101.71,64052457,104.43,111.33
2018-11-19,108.27,108.56,103.55,104.62,44773899,102.97,107.33
2018-11-16,107.08,108.88,106.8,108.29,33502121,108.56,106.63
2018-11-15,104.99,107.8,103.91,107.28,38505165,108.88,103.8099
2018-11-14,108.1,108.26,104.47,104.97,39495141,107.8,104.43
2018-11-13,107.55,108.74,106.64,106.94,35374583,108.26,102.97
2018-11-12,109.42,109.96,106.1,106.87,33621807,108.74,108.56
2018-11-09,110.85,111.45,108.76,109.57,32039223,109.96,108.88
2018-11-08,111.8,112.21,110.91,111.75,25644105,111.45,107.8
2018-11-07,109.44,112.24,109.4,111.96,37901704,112.21,108.26
2018-11-06,107.38,108.84,106.28,107.72,24340248,112.24,108.74
2018-11-05,106.37,107.74,105.9,107.51,27922144,108.84,109.96
2018-11-02,106.48,107.32,104.975,106.16,37680194,107.74,111.45
